,Actual Speed,Goal Speed,Goal Status,Ori W,Ori X,Ori Y,Ori Z,Pos X,Pos Y,Pos Z,Time
117,6.0457052629,5.2037969794,0,0.8925677620000001,0.0045836087,0.0140532335,0.4506709304,17.0281157383,-6.0020203859,0.197644283,8.7475
118,5.7760513336,6.7411909372,0,0.8941881949,-0.0063916479,0.008131603000000001,0.4475717775,17.1141986461,-5.8745450925,0.1969404791,8.7775
119,6.1161651719,6.7411909372,0,0.8891450556,0.0055558083,-0.0067778212,0.4575415438,17.3663246172,-5.5163568882,0.1971272702,8.835
120,6.4486119312,6.7411909372,0,0.8813930534000001,0.0132219109,-0.00018188860000000002,0.4721985106,17.5485145754,-5.2591789433,0.1966590826,8.9075
121,6.8806723549,1.8186366016000002,0,0.8751602806000001,0.0148544377,0.0043003126,0.483585914,17.7003261372,-5.0301492033,0.1965790326,8.9325
122,6.3144578794,1.8186366016000002,0,0.8742619082,0.0028043440000000003,0.011972448,0.4852987863,17.8639271649,-4.7636458407,0.19625565650000001,9.0025
123,6.147315366,1.1737112942,0,0.8788106579,-0.0120450061,0.0044590299000000005,0.4769977594,18.0374080892,-4.4709186301,0.1964254253,9.035
124,5.6443818577,1.1737112942,0,0.8797451606000001,-0.0066197256,0.005932533,0.4753624267,18.2476962074,-4.1399831225,0.1981157677,9.1025
125,5.0058122217,3.2340312859,0,0.8846668973,-0.0113416661,0.011444814000000001,0.4659451294,18.4591492112,-3.8255449838,0.19812787,9.1525
126,5.0009504782,6.8814575885,0,0.8885704499,-0.007522733,0.008288002400000001,0.4586036122,18.5434330162,-3.704578477,0.19786117120000002,9.18
127,5.6775551398,6.8814575885,0,0.895754849,-0.0039884315,-0.0043858583,0.4445088381,18.7219871348,-3.4601080474,0.1975492391,9.2375
128,5.8456355662,6.8814575885,0,0.8994979357,0.0043206747,-0.0089665331,0.4368116262,18.9028564049,-3.2259479781,0.1968765311,9.295
129,6.3764339352,6.05475373,0,0.9011110510000001,0.0024347096,-0.0083015623,0.4335020531,19.1170594202,-2.9590486109,0.1964854737,9.34
130,6.0602733938,6.6128764351000004,0,0.9054022613,-0.0021374068,0.0053766981000000005,0.42451533280000003,19.3625767716,-2.6601058222000002,0.1968609523,9.4
131,7.1877861256,5.5289479111,0,0.9065202409,0.007450170900000001,-0.0098368155,0.4219819721,19.6008523117,-2.377975648,0.1973684052,9.4575
132,6.1173907798,5.5289479111,0,0.9048737869000001,0.0013659115,0.0030047697000000003,0.42566716520000003,19.7073149625,-2.2523383307,0.19715463700000002,9.4825
133,6.1060540737,4.0060476664,0,0.9047438065000001,-0.0029292406000000003,0.010216850900000001,0.4258235316,20.014806907,-1.8778745329,0.1965005634,9.55
134,6.1807932801,4.0060476664,0,0.9057902619,-0.0032321461,0.0090051019,0.4236182985,20.1341787482,-1.7319044140000002,0.1968233249,9.5925
135,6.0531911159,4.0060476664,0,0.9032333115000001,-0.0031853779,0.0113724471,0.4289873025,20.3302901347,-1.4939460444,0.19738127800000002,9.6325
136,5.8105833653,4.0060476664,0,0.9024942576,-0.0018236411,0.0076893478,0.43062938040000004,20.53885266,-1.2381504445,0.1970523035,9.6925
137,5.7355527015,4.2933243948,0,0.9033154791,-0.0009930695,0.0079022166,0.4289029191,20.713663174,-1.0217804746,0.1969274131,9.7375
138,5.4107648916,1.3574574406,0,0.9025629309000001,-0.0034127398,0.010880585,0.4304069258,20.8843955097,-0.8110889996,0.1969869229,9.7925
139,5.2329250458,1.3574574406,0,0.9006970821,-0.0015269778,0.0107767667,0.4343112892,21.0072321242,-0.6589471691000001,0.19711986480000002,9.8475
140,5.4356169594,1.3574574406,0,0.9032193324000001,-0.0044555224,0.0043080657000000005,0.4291345085,21.2598902065,-0.339969222,0.1969802769,9.9025
141,4.1955437184,1.3574574406,0,0.9063736689,-0.007083545,0.0100048991,0.4222990619,21.384370774,-0.1875179226,0.1972521312,9.9425
142,4.9128874988,1.3574574406,0,0.9081633846,-0.003293086,0.0047538213,0.41857594730000003,21.5171375055,-0.0311115822,0.1971455479,9.99
143,4.6055527823,1.6135857815999999,0,0.9064635878,0.000220954,0.0116938912,0.42212198240000004,21.7123535441,0.1938288557,0.1968415403,10.0425
144,4.3874546745,1.6135857815999999,0,0.9086923995,-0.0019918877,0.0096653343,0.41734965770000004,21.9046620612,0.42175510050000004,0.1965661531,10.1075
145,4.1514511689,1.368446766,0,0.9085186646000001,-0.0019322943,0.0098900922,0.417722741,22.1205113989,0.6729157125,0.19705823020000002,10.165
146,4.3558996719,2.5390003744,0,0.9067201997000001,-0.0024568068,0.010283078000000001,0.4216001682,22.1993720131,0.7650655981000001,0.1970676143,10.22
147,4.2559845114,5.1175551849,0,0.904747896,-0.0025683705,0.0085932062,0.42585303220000004,22.4930630272,1.1253864214,0.1965943449,10.3
148,4.0813469168,5.1175551849,0,0.9046417202,-0.0028280244000000003,0.008741794300000001,0.4260738684,22.4994693703,1.1332568259,0.1966134777,10.31
